x,y
0.12,1.03
0.27,1.12
0.33,1.28
0.45,1.57
0.58,1.84
0.61,2.01
0.73,2.34
0.79,2.58
0.84,2.71
0.95,3.02
1.02,3.21
1.15,3.55
1.23,3.78
1.34,4.12
1.41,4.31
1.52,4.68
1.60,4.92
1.73,5.31
1.81,5.55
1.94,6.02
2.01,6.28
2.13,6.71
2.22,7.03
2.35,7.48
2.41,7.71
2.53,8.12
2.60,8.38
2.74,8.91
2.81,9.12
2.93,9.58
3.02,9.84
3.15,10.31
3.22,10.58
3.34,11.02
3.41,11.28
3.53,11.73
3.60,12.01
3.73,12.48
3.81,12.73
3.94,13.21
4.01,13.48
4.13,13.94
4.22,14.21
4.35,14.68
4.41,14.92
4.53,15.38
4.60,15.62
4.74,16.11
4.81,16.35
4.93,16.81
5.02,17.07
5.15,17.55
5.22,17.81
5.34,18.28
5.41,18.53
5.53,19.01
5.60,19.27
5.73,19.76
5.81,20.01
5.94,20.50
6.01,20.77
